model,release_year,screen_size_inches,price_usd,base_storage_gb,advertised_launch_price_usd,price_basis,notes,specification_source_url,price_source_url,inner_screen_size_inches,outer_screen_size_inches,form_factor,announcement_date,scheduled_release_date,release_status,status_as_of,price_source_publisher,price_source_type,price_source_note,price_verification_status,price_source_checked_on,advertised_launch_price_source_url,advertised_price_source_publisher,advertised_price_verification_status,pricing_conditions_source_url,pricing_conditions_source_note
iPhone 6s,2015,4.7,649,16,199,launch_era_full_device,Full-device launch-era retail price; advertised_launch_price_usd is the subsidized two-year-contract price.,https://www.apple.com/newsroom/2015/09/09Apple-Introduces-iPhone-6s-iPhone-6s-Plus/,https://tidbits.com/2015/09/09/iphone-6s-and-iphone-6s-plus-get-touchy-feely/,,,slate,,,released,2026-09-14,TidBITS,contemporaneous_reporting,"16GB full purchase price, not a subsidized contract price.",verified_contemporaneous_reporting,2026-09-14,https://arstechnica.com/gadgets/2015/09/apple-announces-the-iphone-6s-and-6s-plus/,Ars Technica,verified_contemporaneous_reporting,,
iPhone 6s Plus,2015,5.5,749,16,299,launch_era_full_device,Full-device launch-era retail price; advertised_launch_price_usd is the subsidized two-year-contract price.,https://www.apple.com/newsroom/2015/09/09Apple-Introduces-iPhone-6s-iPhone-6s-Plus/,https://tidbits.com/2015/09/09/iphone-6s-and-iphone-6s-plus-get-touchy-feely/,,,slate,,,released,2026-09-14,TidBITS,contemporaneous_reporting,"16GB full purchase price, not a subsidized contract price.",verified_contemporaneous_reporting,2026-09-14,https://arstechnica.com/gadgets/2015/09/apple-announces-the-iphone-6s-and-6s-plus/,Ars Technica,verified_contemporaneous_reporting,,
iPhone SE (1st generation),2016,4.0,399,16,399,advertised_full_device,Apple-advertised US starting price for the lowest storage capacity available at initial launch.,https://www.apple.com/newsroom/2016/03/21Apple-Introduces-iPhone-SE-The-Most-Powerful-Phone-with-a-Four-inch-Display/,https://www.apple.com/newsroom/2016/03/21Apple-Introduces-iPhone-SE-The-Most-Powerful-Phone-with-a-Four-inch-Display/,,,slate,,,released,2026-09-14,Apple,primary_manufacturer,U.S. starting price for the 16GB base configuration.,verified_primary_source,2026-09-14,https://www.apple.com/newsroom/2016/03/21Apple-Introduces-iPhone-SE-The-Most-Powerful-Phone-with-a-Four-inch-Display/,Apple,verified_primary_source,,
iPhone 7,2016,4.7,649,32,649,advertised_full_device,Apple-advertised US starting price for the lowest storage capacity available at initial launch.,https://www.apple.com/newsroom/2016/09/apple-introduces-iphone-7-iphone-7-plus/,https://arstechnica.com/gadgets/2016/09/apple-introduces-iphone-7-and-iphone-7/,,,slate,,,released,2026-09-14,Ars Technica,contemporaneous_reporting,32GB starting price; the same article separately prices the Plus model.,verified_contemporaneous_reporting,2026-09-14,https://arstechnica.com/gadgets/2016/09/apple-introduces-iphone-7-and-iphone-7/,Ars Technica,verified_contemporaneous_reporting,,
iPhone 7 Plus,2016,5.5,769,32,769,advertised_full_device,Apple-advertised US starting price for the lowest storage capacity available at initial launch.,https://www.apple.com/newsroom/2016/09/apple-introduces-iphone-7-iphone-7-plus/,https://arstechnica.com/gadgets/2016/09/apple-introduces-iphone-7-and-iphone-7/,,,slate,,,released,2026-09-14,Ars Technica,contemporaneous_reporting,32GB Plus price; not the lower starting price for the smaller iPhone 7.,verified_contemporaneous_reporting,2026-09-14,https://arstechnica.com/gadgets/2016/09/apple-introduces-iphone-7-and-iphone-7/,Ars Technica,verified_contemporaneous_reporting,,
iPhone 8,2017,4.7,699,64,699,advertised_full_device,Apple-advertised US starting price for the lowest storage capacity available at initial launch.,https://www.apple.com/newsroom/2017/09/iphone-8-and-iphone-8-plus-a-new-generation-of-iphone/,https://tidbits.com/2017/09/12/apple-introduces-iphone-8-iphone-8-plus-and-iphone-x/,,,slate,,,released,2026-09-14,TidBITS,contemporaneous_reporting,64GB starting price; the same article separately prices the Plus model.,verified_contemporaneous_reporting,2026-09-14,https://tidbits.com/2017/09/12/apple-introduces-iphone-8-iphone-8-plus-and-iphone-x/,TidBITS,verified_contemporaneous_reporting,,
iPhone 8 Plus,2017,5.5,799,64,799,advertised_full_device,Apple-advertised US starting price for the lowest storage capacity available at initial launch.,https://www.apple.com/newsroom/2017/09/iphone-8-and-iphone-8-plus-a-new-generation-of-iphone/,https://tidbits.com/2017/09/12/apple-introduces-iphone-8-iphone-8-plus-and-iphone-x/,,,slate,,,released,2026-09-14,TidBITS,contemporaneous_reporting,64GB Plus price; not the lower starting price for the smaller iPhone 8.,verified_contemporaneous_reporting,2026-09-14,https://tidbits.com/2017/09/12/apple-introduces-iphone-8-iphone-8-plus-and-iphone-x/,TidBITS,verified_contemporaneous_reporting,,
iPhone X,2017,5.8,999,64,999,advertised_full_device,Apple-advertised US starting price for the lowest storage capacity available at initial launch.,https://www.apple.com/newsroom/2017/09/the-future-is-here-iphone-x/,https://www.apple.com/newsroom/2017/09/the-future-is-here-iphone-x/,,,slate,,,released,2026-09-14,Apple,primary_manufacturer,U.S. starting price for the 64GB base configuration.,verified_primary_source,2026-09-14,https://www.apple.com/newsroom/2017/09/the-future-is-here-iphone-x/,Apple,verified_primary_source,,
iPhone XS,2018,5.8,999,64,999,advertised_full_device,Apple-advertised US starting price for the lowest storage capacity available at initial launch.,https://www.apple.com/newsroom/2018/09/iphone-xs-and-iphone-xs-max-bring-the-best-and-biggest-displays-to-iphone/,https://www.apple.com/newsroom/2018/09/iphone-xs-and-iphone-xs-max-bring-the-best-and-biggest-displays-to-iphone/,,,slate,,,released,2026-09-14,Apple,primary_manufacturer,U.S. starting price for the 64GB base configuration.,verified_primary_source,2026-09-14,https://www.apple.com/newsroom/2018/09/iphone-xs-and-iphone-xs-max-bring-the-best-and-biggest-displays-to-iphone/,Apple,verified_primary_source,,
iPhone XS Max,2018,6.5,1099,64,1099,advertised_full_device,Apple-advertised US starting price for the lowest storage capacity available at initial launch.,https://www.apple.com/newsroom/2018/09/iphone-xs-and-iphone-xs-max-bring-the-best-and-biggest-displays-to-iphone/,https://www.apple.com/newsroom/2018/09/iphone-xs-and-iphone-xs-max-bring-the-best-and-biggest-displays-to-iphone/,,,slate,,,released,2026-09-14,Apple,primary_manufacturer,U.S. starting price for the 64GB base configuration.,verified_primary_source,2026-09-14,https://www.apple.com/newsroom/2018/09/iphone-xs-and-iphone-xs-max-bring-the-best-and-biggest-displays-to-iphone/,Apple,verified_primary_source,,
iPhone XR,2018,6.1,749,64,749,advertised_full_device,Apple-advertised US starting price for the lowest storage capacity available at initial launch.,https://www.apple.com/newsroom/2018/09/apple-introduces-iphone-xr/,https://www.apple.com/newsroom/2018/09/apple-introduces-iphone-xr/,,,slate,,,released,2026-09-14,Apple,primary_manufacturer,U.S. starting price for the 64GB base configuration.,verified_primary_source,2026-09-14,https://www.apple.com/newsroom/2018/09/apple-introduces-iphone-xr/,Apple,verified_primary_source,,
iPhone 11,2019,6.1,699,64,699,advertised_full_device,Apple-advertised US starting price for the lowest storage capacity available at initial launch.,https://www.apple.com/newsroom/2019/09/apple-introduces-dual-camera-iphone-11/,https://www.apple.com/newsroom/2019/09/apple-introduces-dual-camera-iphone-11/,,,slate,,,released,2026-09-14,Apple,primary_manufacturer,U.S. starting price for the 64GB base configuration.,verified_primary_source,2026-09-14,https://www.apple.com/newsroom/2019/09/apple-introduces-dual-camera-iphone-11/,Apple,verified_primary_source,,
iPhone 11 Pro,2019,5.8,999,64,999,advertised_full_device,Apple-advertised US starting price for the lowest storage capacity available at initial launch.,https://www.apple.com/newsroom/2019/09/iphone-11-pro-and-iphone-11-pro-max-the-most-powerful-and-advanced-smartphones/,https://www.apple.com/newsroom/2019/09/iphone-11-pro-and-iphone-11-pro-max-the-most-powerful-and-advanced-smartphones/,,,slate,,,released,2026-09-14,Apple,primary_manufacturer,U.S. starting price for the 64GB base configuration.,verified_primary_source,2026-09-14,https://www.apple.com/newsroom/2019/09/iphone-11-pro-and-iphone-11-pro-max-the-most-powerful-and-advanced-smartphones/,Apple,verified_primary_source,,
iPhone 11 Pro Max,2019,6.5,1099,64,1099,advertised_full_device,Apple-advertised US starting price for the lowest storage capacity available at initial launch.,https://www.apple.com/newsroom/2019/09/iphone-11-pro-and-iphone-11-pro-max-the-most-powerful-and-advanced-smartphones/,https://www.apple.com/newsroom/2019/09/iphone-11-pro-and-iphone-11-pro-max-the-most-powerful-and-advanced-smartphones/,,,slate,,,released,2026-09-14,Apple,primary_manufacturer,U.S. starting price for the 64GB base configuration.,verified_primary_source,2026-09-14,https://www.apple.com/newsroom/2019/09/iphone-11-pro-and-iphone-11-pro-max-the-most-powerful-and-advanced-smartphones/,Apple,verified_primary_source,,
iPhone SE (2nd generation),2020,4.7,399,64,399,advertised_full_device,Apple-advertised US starting price for the lowest storage capacity available at initial launch.,https://www.apple.com/newsroom/2020/04/iphone-se-a-powerful-new-smartphone-in-a-popular-design/,https://www.apple.com/newsroom/2020/04/iphone-se-a-powerful-new-smartphone-in-a-popular-design/,,,slate,,,released,2026-09-14,Apple,primary_manufacturer,U.S. starting price for the 64GB base configuration.,verified_primary_source,2026-09-14,https://www.apple.com/newsroom/2020/04/iphone-se-a-powerful-new-smartphone-in-a-popular-design/,Apple,verified_primary_source,,
iPhone 12 mini,2020,5.4,699,64,699,full_device_with_activation_discount,Apple-advertised starting price includes a $30 carrier-activation/connectivity discount; not the SIM-free price.,https://www.apple.com/newsroom/2020/10/apple-announces-iphone-12-and-iphone-12-mini-a-new-era-for-iphone-with-5g/,https://www.apple.com/newsroom/2020/10/apple-announces-iphone-12-and-iphone-12-mini-a-new-era-for-iphone-with-5g/,,,slate,,,released,2026-09-14,Apple,primary_manufacturer,U.S. starting price for the 64GB base configuration.,verified_primary_source,2026-09-14,https://www.apple.com/newsroom/2020/10/apple-announces-iphone-12-and-iphone-12-mini-a-new-era-for-iphone-with-5g/,Apple,verified_primary_source,https://www.apple.com/newsroom/2020/10/apple-announces-iphone-12-and-iphone-12-mini-a-new-era-for-iphone-with-5g/,The launch-source pricing footnote includes a $30 carrier activation or connectivity discount; this is not the connect-later price.
iPhone 12,2020,6.1,799,64,799,full_device_with_activation_discount,Apple-advertised starting price includes a $30 carrier-activation/connectivity discount; not the SIM-free price.,https://www.apple.com/newsroom/2020/10/apple-announces-iphone-12-and-iphone-12-mini-a-new-era-for-iphone-with-5g/,https://www.apple.com/newsroom/2020/10/apple-announces-iphone-12-and-iphone-12-mini-a-new-era-for-iphone-with-5g/,,,slate,,,released,2026-09-14,Apple,primary_manufacturer,U.S. starting price for the 64GB base configuration.,verified_primary_source,2026-09-14,https://www.apple.com/newsroom/2020/10/apple-announces-iphone-12-and-iphone-12-mini-a-new-era-for-iphone-with-5g/,Apple,verified_primary_source,https://www.apple.com/newsroom/2020/10/apple-announces-iphone-12-and-iphone-12-mini-a-new-era-for-iphone-with-5g/,The launch-source pricing footnote includes a $30 carrier activation or connectivity discount; this is not the connect-later price.
iPhone 12 Pro,2020,6.1,999,128,999,advertised_full_device,Apple-advertised US starting price for the lowest storage capacity available at initial launch.,https://www.apple.com/newsroom/2020/10/apple-introduces-iphone-12-pro-and-iphone-12-pro-max-with-5g/,https://www.apple.com/newsroom/2020/10/apple-introduces-iphone-12-pro-and-iphone-12-pro-max-with-5g/,,,slate,,,released,2026-09-14,Apple,primary_manufacturer,U.S. starting price for the 128GB base configuration.,verified_primary_source,2026-09-14,https://www.apple.com/newsroom/2020/10/apple-introduces-iphone-12-pro-and-iphone-12-pro-max-with-5g/,Apple,verified_primary_source,,
iPhone 12 Pro Max,2020,6.7,1099,128,1099,advertised_full_device,Apple-advertised US starting price for the lowest storage capacity available at initial launch.,https://www.apple.com/newsroom/2020/10/apple-introduces-iphone-12-pro-and-iphone-12-pro-max-with-5g/,https://www.apple.com/newsroom/2020/10/apple-introduces-iphone-12-pro-and-iphone-12-pro-max-with-5g/,,,slate,,,released,2026-09-14,Apple,primary_manufacturer,U.S. starting price for the 128GB base configuration.,verified_primary_source,2026-09-14,https://www.apple.com/newsroom/2020/10/apple-introduces-iphone-12-pro-and-iphone-12-pro-max-with-5g/,Apple,verified_primary_source,,
iPhone 13 mini,2021,5.4,699,128,699,full_device_with_activation_discount,Apple-advertised starting price includes a $30 carrier-activation/connectivity discount; not the SIM-free price.,https://www.apple.com/newsroom/2021/09/apple-introduces-iphone-13-and-iphone-13-mini/,https://www.apple.com/newsroom/2021/09/apple-introduces-iphone-13-and-iphone-13-mini/,,,slate,,,released,2026-09-14,Apple,primary_manufacturer,U.S. starting price for the 128GB base configuration.,verified_primary_source,2026-09-14,https://www.apple.com/newsroom/2021/09/apple-introduces-iphone-13-and-iphone-13-mini/,Apple,verified_primary_source,https://www.apple.com/newsroom/2021/09/apple-introduces-iphone-13-and-iphone-13-mini/,The launch-source pricing footnote includes a $30 carrier activation or connectivity discount; this is not the connect-later price.
iPhone 13,2021,6.1,799,128,799,full_device_with_activation_discount,Apple-advertised starting price includes a $30 carrier-activation/connectivity discount; not the SIM-free price.,https://www.apple.com/newsroom/2021/09/apple-introduces-iphone-13-and-iphone-13-mini/,https://www.apple.com/newsroom/2021/09/apple-introduces-iphone-13-and-iphone-13-mini/,,,slate,,,released,2026-09-14,Apple,primary_manufacturer,U.S. starting price for the 128GB base configuration.,verified_primary_source,2026-09-14,https://www.apple.com/newsroom/2021/09/apple-introduces-iphone-13-and-iphone-13-mini/,Apple,verified_primary_source,https://www.apple.com/newsroom/2021/09/apple-introduces-iphone-13-and-iphone-13-mini/,The launch-source pricing footnote includes a $30 carrier activation or connectivity discount; this is not the connect-later price.
iPhone 13 Pro,2021,6.1,999,128,999,advertised_full_device,Apple-advertised US starting price for the lowest storage capacity available at initial launch.,https://www.apple.com/newsroom/2021/09/apple-unveils-iphone-13-pro-and-iphone-13-pro-max-more-pro-than-ever-before/,https://www.apple.com/newsroom/2021/09/apple-unveils-iphone-13-pro-and-iphone-13-pro-max-more-pro-than-ever-before/,,,slate,,,released,2026-09-14,Apple,primary_manufacturer,U.S. starting price for the 128GB base configuration.,verified_primary_source,2026-09-14,https://www.apple.com/newsroom/2021/09/apple-unveils-iphone-13-pro-and-iphone-13-pro-max-more-pro-than-ever-before/,Apple,verified_primary_source,,
iPhone 13 Pro Max,2021,6.7,1099,128,1099,advertised_full_device,Apple-advertised US starting price for the lowest storage capacity available at initial launch.,https://www.apple.com/newsroom/2021/09/apple-unveils-iphone-13-pro-and-iphone-13-pro-max-more-pro-than-ever-before/,https://www.apple.com/newsroom/2021/09/apple-unveils-iphone-13-pro-and-iphone-13-pro-max-more-pro-than-ever-before/,,,slate,,,released,2026-09-14,Apple,primary_manufacturer,U.S. starting price for the 128GB base configuration.,verified_primary_source,2026-09-14,https://www.apple.com/newsroom/2021/09/apple-unveils-iphone-13-pro-and-iphone-13-pro-max-more-pro-than-ever-before/,Apple,verified_primary_source,,
iPhone SE (3rd generation),2022,4.7,429,64,429,advertised_full_device,Apple-advertised US starting price for the lowest storage capacity available at initial launch.,https://www.apple.com/newsroom/2022/03/apple-announces-the-new-iphone-se-a-powerful-smartphone-in-an-iconic-design/,https://www.apple.com/newsroom/2022/03/apple-announces-the-new-iphone-se-a-powerful-smartphone-in-an-iconic-design/,,,slate,,,released,2026-09-14,Apple,primary_manufacturer,U.S. starting price for the 64GB base configuration.,verified_primary_source,2026-09-14,https://www.apple.com/newsroom/2022/03/apple-announces-the-new-iphone-se-a-powerful-smartphone-in-an-iconic-design/,Apple,verified_primary_source,,
iPhone 14,2022,6.1,799,128,799,full_device_with_activation_discount,Apple-advertised starting price includes a $30 carrier-activation/connectivity discount; not the SIM-free price.,https://www.apple.com/newsroom/2022/09/apple-introduces-iphone-14-and-iphone-14-plus/,https://www.apple.com/newsroom/2022/09/apple-introduces-iphone-14-and-iphone-14-plus/,,,slate,,,released,2026-09-14,Apple,primary_manufacturer,U.S. starting price for the 128GB base configuration.,verified_primary_source,2026-09-14,https://www.apple.com/newsroom/2022/09/apple-introduces-iphone-14-and-iphone-14-plus/,Apple,verified_primary_source,https://www.apple.com/newsroom/2022/09/apple-introduces-iphone-14-and-iphone-14-plus/,The launch-source pricing footnote includes a $30 carrier activation or connectivity discount; this is not the connect-later price.
iPhone 14 Plus,2022,6.7,899,128,899,full_device_with_activation_discount,Apple-advertised starting price includes a $30 carrier-activation/connectivity discount; not the SIM-free price.,https://www.apple.com/newsroom/2022/09/apple-introduces-iphone-14-and-iphone-14-plus/,https://www.apple.com/newsroom/2022/09/apple-introduces-iphone-14-and-iphone-14-plus/,,,slate,,,released,2026-09-14,Apple,primary_manufacturer,U.S. starting price for the 128GB base configuration.,verified_primary_source,2026-09-14,https://www.apple.com/newsroom/2022/09/apple-introduces-iphone-14-and-iphone-14-plus/,Apple,verified_primary_source,https://www.apple.com/newsroom/2022/09/apple-introduces-iphone-14-and-iphone-14-plus/,The launch-source pricing footnote includes a $30 carrier activation or connectivity discount; this is not the connect-later price.
iPhone 14 Pro,2022,6.1,999,128,999,advertised_full_device,Apple-advertised US starting price for the lowest storage capacity available at initial launch.,https://www.apple.com/newsroom/2022/09/apple-debuts-iphone-14-pro-and-iphone-14-pro-max/,https://www.apple.com/newsroom/2022/09/apple-debuts-iphone-14-pro-and-iphone-14-pro-max/,,,slate,,,released,2026-09-14,Apple,primary_manufacturer,U.S. starting price for the 128GB base configuration.,verified_primary_source,2026-09-14,https://www.apple.com/newsroom/2022/09/apple-debuts-iphone-14-pro-and-iphone-14-pro-max/,Apple,verified_primary_source,,
iPhone 14 Pro Max,2022,6.7,1099,128,1099,advertised_full_device,Apple-advertised US starting price for the lowest storage capacity available at initial launch.,https://www.apple.com/newsroom/2022/09/apple-debuts-iphone-14-pro-and-iphone-14-pro-max/,https://www.apple.com/newsroom/2022/09/apple-debuts-iphone-14-pro-and-iphone-14-pro-max/,,,slate,,,released,2026-09-14,Apple,primary_manufacturer,U.S. starting price for the 128GB base configuration.,verified_primary_source,2026-09-14,https://www.apple.com/newsroom/2022/09/apple-debuts-iphone-14-pro-and-iphone-14-pro-max/,Apple,verified_primary_source,,
iPhone 15,2023,6.1,799,128,799,full_device_with_activation_discount,Apple-advertised starting price includes a $30 carrier-activation/connectivity discount; not the SIM-free price.,https://www.apple.com/newsroom/2023/09/apple-debuts-iphone-15-and-iphone-15-plus/,https://www.apple.com/newsroom/2023/09/apple-debuts-iphone-15-and-iphone-15-plus/,,,slate,,,released,2026-09-14,Apple,primary_manufacturer,U.S. starting price for the 128GB base configuration.,verified_primary_source,2026-09-14,https://www.apple.com/newsroom/2023/09/apple-debuts-iphone-15-and-iphone-15-plus/,Apple,verified_primary_source,https://www.apple.com/newsroom/2023/09/apple-debuts-iphone-15-and-iphone-15-plus/,The launch-source pricing footnote includes a $30 carrier activation or connectivity discount; this is not the connect-later price.
iPhone 15 Plus,2023,6.7,899,128,899,full_device_with_activation_discount,Apple-advertised starting price includes a $30 carrier-activation/connectivity discount; not the SIM-free price.,https://www.apple.com/newsroom/2023/09/apple-debuts-iphone-15-and-iphone-15-plus/,https://www.apple.com/newsroom/2023/09/apple-debuts-iphone-15-and-iphone-15-plus/,,,slate,,,released,2026-09-14,Apple,primary_manufacturer,U.S. starting price for the 128GB base configuration.,verified_primary_source,2026-09-14,https://www.apple.com/newsroom/2023/09/apple-debuts-iphone-15-and-iphone-15-plus/,Apple,verified_primary_source,https://www.apple.com/newsroom/2023/09/apple-debuts-iphone-15-and-iphone-15-plus/,The launch-source pricing footnote includes a $30 carrier activation or connectivity discount; this is not the connect-later price.
iPhone 15 Pro,2023,6.1,999,128,999,advertised_full_device,Apple-advertised US starting price for the lowest storage capacity available at initial launch.,https://www.apple.com/newsroom/2023/09/apple-unveils-iphone-15-pro-and-iphone-15-pro-max/,https://www.apple.com/newsroom/2023/09/apple-unveils-iphone-15-pro-and-iphone-15-pro-max/,,,slate,,,released,2026-09-14,Apple,primary_manufacturer,U.S. starting price for the 128GB base configuration.,verified_primary_source,2026-09-14,https://www.apple.com/newsroom/2023/09/apple-unveils-iphone-15-pro-and-iphone-15-pro-max/,Apple,verified_primary_source,,
iPhone 15 Pro Max,2023,6.7,1199,256,1199,advertised_full_device,Apple-advertised US starting price for the lowest storage capacity available at initial launch.,https://www.apple.com/newsroom/2023/09/apple-unveils-iphone-15-pro-and-iphone-15-pro-max/,https://www.apple.com/newsroom/2023/09/apple-unveils-iphone-15-pro-and-iphone-15-pro-max/,,,slate,,,released,2026-09-14,Apple,primary_manufacturer,U.S. starting price for the 256GB base configuration.,verified_primary_source,2026-09-14,https://www.apple.com/newsroom/2023/09/apple-unveils-iphone-15-pro-and-iphone-15-pro-max/,Apple,verified_primary_source,,
